1;Картофель;10;0.17;0.24;1.94;
2;Свёкла;4;0.16;0.02;0.96;
3;Морковь;4;0.09;0.02;0.96;
4;Говядина;29;2.63;1.95;0;
5;Лук;4;0.09;0.01;1.01;
6;Капуста;2;0.14;0.01;0.56;
7;Свинина;27;2.73;1.7;0;
8;Помидоры;2;0.09;0.02;0.39;
9;Сыр;35;2.22;2.69;0.47;
10;Майонез;39;0.09;3.34;2.39;
11;Кабачки;2;0.1;0.01;0.5;
12;Болгарский перец;3;0.1;0.03;0.6;
13;Чеснок;15;0.64;0.05;3.31;
14;Докторская колбаса;25;1.12;2.22;0.16;
15;Огурцы Маринованные;1;0;0;0.03;
16;Зелёный горошек;7;0.44;0.03;1.26;
17;Яйца;15;1.26;0.99;0.08;
